Code,State,Hourly mean wage,Annual mean wage
US-CA,California,$64.10,"$133,340"
US-HI,Hawaii,$54.43,"$113,220"
US-OR,Oregon,$51.26,"$106,610"
US-MA,Massachusetts,$50.07,"$104,150"
US-AK,Alaska,$49.67,"$103,310"
US-WA,Washington,$48.88,"$101,670"
US-NY,New York,$48.14,"$100,130"
US-DC,"Washington, D.C.",$47.23,"$98,230"
US-NJ,New Jersey,$46.48,"$96,670"
US-NV,Nevada,$46.30,"$96,310"
US-CT,Connecticut,$45.32,"$94,260"
US-MN,Minnesota,$42.72,"$88,860"
US-RI,Rhode Island,$42.43,"$88,250"
US-MD,Maryland,$42.30,"$87,990"
US-AZ,Arizona,$41.70,"$86,740"
US-CO,Colorado,$41.63,"$86,590"
US-NM,New Mexico,$41.15,"$85,580"
US-GA,Georgia,$40.95,"$85,180"
US-DE,Delaware,$40.88,"$85,020"
US-TX,Texas,$40.54,"$84,320"
US-NH,New Hampshire,$40.11,"$83,420"
US-IL,Illinois,$39.53,"$82,220"
US-VA,Virginia,$39.36,"$81,860"
US-WY,Wyoming,$38.95,"$81,010"
US-WI,Wisconsin,$38.94,"$81,000"
US-MI,Michigan,$38.78,"$80,660"
US-PA,Pennsylvania,$38.76,"$80,630"
US-VT,Vermont,$38.46,"$79,990"
US-FL,Florida,$38.42,"$79,910"
US-ID,Idaho,$37.79,"$78,610"
US-OH,Ohio,$37.72,"$78,450"
US-MT,Montana,$37.67,"$78,350"
US-KY,Kentucky,$37.32,"$77,620"
US-ME,Maine,$37.22,"$77,410"
US-NC,North Carolina,$37.22,"$77,420"
US-OK,Oklahoma,$36.98,"$76,920"
US-UT,Utah,$36.73,"$76,400"
US-LA,Louisiana,$36.50,"$75,920"
US-IN,Indiana,$36.34,"$75,580"
US-ND,North Dakota,$36.06,"$75,000"
US-SC,South Carolina,$35.74,"$74,330"
US-NE,Nebraska,$35.34,"$73,510"
US-TN,Tennessee,$34.85,"$72,480"
US-WV,West Virginia,$34.73,"$72,230"
US-KS,Kansas,$34.61,"$71,990"
US-MO,Missouri,$34.55,"$71,860"
US-IA,Iowa,$33.35,"$69,370"
US-MS,Mississippi,$32.66,"$67,930"
US-AL,Alabama,$32.17,"$66,910"
US-AR,Arkansas,$31.98,"$66,530"
US-SD,South Dakota,$31.01,"$64,500"
