Code,State,Hourly mean wage,Annual mean wage,State Code,state,TotalScore,Affordability,EducationAndChildCare,FamilyFun,HealthAndSafety,Socioeconomics,State Code,state,statesWithBestWeatherAverageTempF,statesWithBestWeatherAverageTempC,statesWithBestWeatherAvgAnnualSnowfall,statesWithBestWeatherAvgAnnualSunlight,statesWithBestWeatherMeanAnnualPrecipitation,statesWithBestWeatherNumofExremeWeatherEvents,Code,State,IsCompact,State Code,2023,state,GroceryCostsIndex,HealthCostsIndex,HousingCostsIndex,MiscCostsIndex,TransportationCostsIndex,UtilityCostsIndex,Rank,State,Avg# Salary,Hourly Rate,Job Count,State Code,State Code,State,Avg rent,Avg Income,Avg Housing price,Population
US-AK,Alaska,49.67,103310,US-AK,Alaska,44.74,37,44,17,27,21,US-AK,Alaska,26.6,-3,64.46,NULL,22.7,3,US-AK,Alaska,No,US-AK,124.4,Alaska,127.4,149.8,118.1,118.8,121.9,148.1,27,Alaska,63817,30.68,195,US-AK,US-AK,Alaska,"$1,146 ","$72,515 ","$250,000 ","733,391"
US-AL,Alabama,32.17,66910,US-AL,Alabama,37.38,29,38,47,44,37,US-AL,Alabama,62.8,17.1,0.57,4660,58.28,23,US-AL,Alabama,Yes,US-AL,88.8,Alabama,96.4,86.9,70.4,96.2,92,103.6,24,Alabama,66024,31.74,680,US-AL,US-AL,Alabama,$717 ,"$43,623 ","$125,500 ","5,024,279"
US-AR,Arkansas,31.98,66530,US-AR,Arkansas,38.47,34,28,48,45,32,US-AR,Arkansas,60.4,15.8,4.04,4724,50.78,23,US-AR,Arkansas,Yes,US-AR,90.3,Arkansas,95.4,87.2,76.3,99.1,92.2,91.8,45,Arkansas,53595,25.77,451,US-AR,US-AR,Arkansas,$677 ,"$41,371 ","$111,400 ","3,011,524"
US-AZ,Arizona,41.7,86740,US-AZ,Arizona,40.4,48,48,12,36,33,US-AZ,Arizona,60.3,15.7,4.76,5755,13.61,12,US-AZ,Arizona,Yes,US-AZ,107.2,Arizona,101.8,93.5,125.3,102.1,99.2,94.3,23,Arizona,64892,31.2,1349,US-AZ,US-AZ,Arizona,$913 ,"$50,255 ","$167,500 ","7,151,502"
US-CA,California,64.1,133340,US-CA,California,52.04,21,45,1,32,40,US-CA,California,59.4,15.2,3.76,5050,22.2,14,US-CA,California,No,US-CA,134.5,California,112.3,106.4,186.5,110.9,124.1,124.8,16,California,80056,38.49,4430,US-CA,US-CA,California,"$1,255 ","$61,818 ","$385,500 ","39,538,223"
US-CO,Colorado,41.63,86590,US-CO,Colorado,53.34,19,32,7,31,15,US-CO,Colorado,45.1,7.3,67.3,4960,15.97,22,US-CO,Colorado,Yes,US-CO,105.5,Colorado,100.6,102,116.1,103,107.4,90.9,22,Colorado,66648,32.04,1414,US-CO,US-CO,Colorado,"$1,002 ","$60,629 ","$247,800 ","5,773,714"
US-CT,Connecticut,45.32,94260,US-CT,Connecticut,57.03,1,8,29,7,31,US-CT,Connecticut,49,9.4,37.85,3988,50.39,9,US-CT,Connecticut,No,US-CT,113.1,Connecticut,99.8,109.7,122.7,111.9,102.6,122.3,1,Connecticut,79907,38.42,821,US-CT,US-CT,Connecticut,"$1,075 ","$70,331 ","$270,500 ","3,605,944"
US-DE,Delaware,40.88,85020,US-DE,Delaware,47.91,12,21,44,22,38,US-DE,Delaware,55.3,12.9,16.94,4232,45.68,7,US-DE,Delaware,Yes,US-DE,102.6,Delaware,103,104.3,99.7,103.9,109.5,97.8,25,Delaware,65568,31.52,290,US-DE,US-DE,Delaware,"$1,018 ","$60,509 ","$231,500 ","989,948"
US-FL,Florida,38.42,79910,US-FL,Florida,47.28,50,30,6,39,35,US-FL,Florida,70.7,21.5,0.01,4859,54.57,10,US-FL,Florida,Yes,US-FL,102.3,Florida,100.1,96.3,110.5,99.4,99.8,96.7,31,Florida,60592,29.13,3008,US-FL,US-FL,Florida,"$1,002 ","$47,507 ","$159,000 ","21,538,187"
US-GA,Georgia,40.95,85180,US-GA,Georgia,40.24,41,35,26,46,41,US-GA,Georgia,63.5,17.5,0.76,4661,50.72,27,US-GA,Georgia,Yes,US-GA,91,Georgia,98.9,101.4,78.5,97.2,94.5,84.4,15,Georgia,69630,33.48,2027,US-GA,US-GA,Georgia,$879 ,"$49,620 ","$148,100 ","10,711,908"
US-HI,Hawaii,54.43,113220,US-HI,Hawaii,51.36,40,33,15,6,23,US-HI,Hawaii,70,21.1,0,NULL,63.7,0,US-HI,Hawaii,No,US-HI,179,Hawaii,125.6,118.4,309.7,123.8,140.3,141.1,26,Hawaii,64949,31.23,234,US-HI,US-HI,Hawaii,"$1,438 ","$69,515 ","$515,300 ","1,455,271"
US-IA,Iowa,33.35,69370,US-IA,Iowa,57.05,9,9,31,14,10,US-IA,Iowa,47.8,8.8,31.27,4331,34.05,21,US-IA,Iowa,Yes,US-IA,89.7,Iowa,96.8,99.7,72.4,95.4,100.6,94.5,28,Iowa,64369,30.95,573,US-IA,US-IA,Iowa,$697 ,"$53,183 ","$129,200 ","3,190,369"
US-ID,Idaho,37.79,78610,US-ID,Idaho,45.74,44,43,39,18,9,US-ID,Idaho,44.4,6.9,36.49,4251,18.96,13,US-ID,Idaho,Yes,US-ID,106.1,Idaho,103.7,101.2,113.8,106.3,109.7,84.6,47,Idaho,51325,24.68,335,US-ID,US-ID,Idaho,$743 ,"$47,583 ","$162,900 ","1,839,106"
