"state","statesWithBestWeatherAverageTempF","statesWithBestWeatherAverageTempC","statesWithBestWeatherAvgAnnualSnowfall","statesWithBestWeatherAvgAnnualSunlight","statesWithBestWeatherMeanAnnualPrecipitation","statesWithBestWeatherNumofExremeWeatherEvents"
"Florida",70.7,21.5,0.01,4859,54.57,10
"Hawaii",70,21.1,0,,63.7,0
"Louisiana",66.4,19.1,0.2,4725,60.09,16
"Texas",64.8,18.2,1.36,5137,28.87,48
"Georgia",63.5,17.5,0.76,4661,50.72,27
"Mississippi",63.4,17.4,0.71,4693,59.23,20
"Alabama",62.8,17.1,0.57,4660,58.28,23
"South Carolina",62.4,16.9,1.5,4624,49.84,18
"Arkansas",60.4,15.8,4.04,4724,50.78,23
"Arizona",60.3,15.7,4.76,5755,13.61,12
"Oklahoma",59.6,15.3,5.88,4912,36.55,35
"California",59.4,15.2,3.76,5050,22.2,14
"North Carolina",59,15,5.03,4466,50.45,23
"Tennessee",57.6,14.2,4.61,4486,54.22,26
"Kentucky",55.6,13.1,8.83,4383,48.98,22
"Delaware",55.3,12.9,16.94,4232,45.68,7
"Virginia",55.1,12.8,14.85,4354,44.39,22
"Missouri",54.5,12.5,12.67,4545,42.23,29
"Kansas",54.3,12.4,15.42,4890,28.92,33
"Maryland",54.2,12.3,20.61,4267,44.64,19
"New Mexico",53.4,11.9,22.74,5642,14.63,13
"New Jersey",52.7,11.5,23.73,4056,47.15,15
"Illinois",51.8,11,21.75,4380,39.32,30
"West Virginia",51.8,11,25.13,4146,45.3,7
"Indiana",51.7,10.9,21.93,4267,41.72,23
"Ohio",50.7,10.4,26.63,4139,39.16,18
"Rhode Island",50.1,10.1,38.85,3989,47.98,5
"Nevada",49.9,9.9,18.83,5296,9.54,10
"Connecticut",49,9.4,37.85,3988,50.39,9
"Nebraska",48.8,9.3,28.12,4685,23.63,16
"Pennsylvania",48.8,9.3,35.84,3939,43.02,23
"Utah",48.6,9.2,40.99,4887,12.26,7
"Oregon",48.4,9.1,10.91,3830,27.55,12
"Washington",48.3,9.1,15.57,3467,38.78,10
"Massachusetts",47.9,8.8,51.05,3944,47.88,6
"Iowa",47.8,8.8,31.27,4331,34.05,21
"New York",45.4,7.4,55.32,3904,41.9,19
"South Dakota",45.2,7.3,37.43,4332,20.14,8
"Colorado",45.1,7.3,67.3,4960,15.97,22
"Idaho",44.4,6.9,36.49,4251,18.96,13
"Michigan",44.4,6.9,60.66,4018,32.84,12
"New Hampshire",43.8,6.6,71.44,3891,43.42,4
"Wisconsin",43.1,6.2,45.79,4023,32.64,13
"Vermont",42.9,6.1,89.25,3826,42.82,3
"Montana",42.7,5.9,37.28,3847,15.37,11
"Wyoming",42,5.6,51,4471,12.97,10
"Minnesota",41.2,5.1,43.43,3968,27.44,12
"Maine",41,5,77.28,3815,42.28,2
"North Dakota",40.4,4.7,37,3925,17.82,5
"Alaska",26.6,-3,64.46,,22.7,3
